"2014-06-30", "2014-08-05", 35.91 
"2014-09-30", "2014-11-07", 24.90 
"2014-12-31", "2015-02-06", 8.91 
"2015-03-31", "2015-05-14", NaN 
"2015-06-30", "2015-08-07", 16.41 
"2015-09-30", "2015-11-10", 14.70 
"2015-12-31", "2016-02-04", 15.00 
"2016-03-31", "2016-05-12", NaN 
"2016-06-30", "2016-08-04", 5.39 
"2016-09-30", "2016-11-11", 5.39 
"2016-12-31", "2017-02-09", 22.10 
"2017-03-31", "2017-05-12", 2.30 
"2017-06-30", "2017-08-04", 13.71 
"2017-09-30", "2017-11-08", 6.94 
"2017-12-31", "2018-02-08", 15.92 
"2018-03-31", "2018-05-10", -8.90 
"2018-06-30", "2018-08-09", 11.51 
"2018-09-30", "2018-11-07", 11.80 
"2018-12-31", "2019-02-12", 19.56 
"2019-03-31", "2019-05-13", 40.17 
"2019-06-30", "2019-08-08", 20.34 
