"2014-06-30", "2014-08-14", 2.08 
"2014-09-30", "2014-11-06", 1.89 
"2014-12-31", "2015-02-12", 1.54 
"2015-03-31", "2015-05-21", 2.39 
"2015-06-30", "2015-08-13", 2.27 
"2015-09-30", "2015-11-12", 1.95 
"2015-12-31", "2016-02-11", 1.22 
"2016-03-31", "2016-05-19", 2.51 
"2016-06-30", "2016-08-16", 1.90 
"2016-09-30", "2016-11-14", 1.73 
"2016-12-31", "2017-02-21", 1.00 
"2017-03-31", "2017-05-24", 1.60 
"2017-06-30", "2017-08-15", 1.58 
"2017-09-30", "2017-11-14", 1.43 
"2017-12-31", "2018-02-21", 0.77 
"2018-03-31", "2018-05-22", 2.10 
"2018-06-30", "2018-08-14", 1.97 
"2018-09-30", "2018-11-13", 1.89 
"2018-12-31", "2019-02-19", 1.17 
"2019-03-31", "2019-05-22", 2.46 
"2019-06-30", "2019-08-13", 2.00 
