"2014-09-30", "2014-10-30", 0.09 
"2014-12-31", "2015-01-27", 0.30 
"2015-03-31", "2015-05-05", 2.24 
"2015-06-30", "2015-08-04", 0.20 
"2015-09-30", "2015-10-29", 0.17 
"2015-12-31", "2016-02-04", 0.23 
"2016-03-31", "2016-05-03", 0.24 
"2016-06-30", "2016-07-28", 0.29 
"2016-09-30", "2016-10-27", 0.20 
"2016-12-31", "2017-01-26", 0.34 
"2017-03-31", "2017-05-04", 0.33 
"2017-06-30", "2017-07-27", 0.82 
"2017-09-30", "2017-10-26", 0.54 
"2017-12-31", "2018-02-01", 0.70 
"2018-03-31", "2018-05-03", 0.80 
"2018-06-30", "2018-07-26", 1.95 
"2018-09-30", "2018-11-01", 1.09 
"2018-12-31", "2019-01-31", 0.97 
"2019-03-31", "2019-05-02", 1.60 
"2019-06-30", "2019-08-01", 1.93 
"2019-09-30", "2019-10-31", 0.28 
