"2014-07-31", "2014-08-26", 0.63 
"2014-10-31", "2014-11-25", 0.69 
"2015-01-31", "2015-02-17", 0.63 
"2015-04-30", "2015-05-19", 0.73 
"2015-07-31", "2015-08-18", 0.77 
"2015-10-31", "2015-11-24", 1.03 
"2016-01-31", "2016-02-17", 0.56 
"2016-04-30", "2016-05-18", 0.64 
"2016-07-31", "2016-08-17", 0.82 
"2016-10-31", "2016-11-22", 1.05 
"2017-01-31", "2017-02-15", 0.94 
"2017-04-30", "2017-05-31", 1.03 
"2017-07-31", "2017-08-30", 1.26 
"2017-10-31", "2017-11-21", 1.45 
"2018-01-31", "2018-02-28", 1.42 
"2018-04-30", "2018-05-30", 1.45 
"2018-07-31", "2018-08-22", 1.53 
"2018-10-31", "2018-11-20", 1.55 
"2019-01-31", "2019-02-20", 1.33 
"2019-04-30", "2019-05-22", 1.36 
"2019-07-31", "2019-08-21", 1.26 
