"2014-09-30", "2014-10-30", 0.88 
"2014-12-31", "2015-02-05", 0.26 
"2015-03-31", "2015-04-30", 0.60 
"2015-06-30", "2015-07-30", 0.40 
"2015-09-30", "2015-11-03", 0.12 
"2015-12-31", "2016-02-04", 0.44 
"2016-03-31", "2016-04-28", 0.15 
"2016-06-30", "2016-07-28", 1.45 
"2016-09-30", "2016-10-27", 0.07 
"2016-12-31", "2017-02-02", 1.06 
"2017-03-31", "2017-04-27", 0.07 
"2017-06-30", "2017-07-27", 0.10 
"2017-09-30", "2017-10-26", 0.11 
"2017-12-31", "2018-02-01", 1.72 
"2018-03-31", "2018-05-07", 0.54 
"2018-06-30", "2018-08-02", 0.02 
"2018-09-30", "2018-11-01", 3.72 
"2018-12-31", "2019-02-04", 0.03 
"2019-03-31", "2019-05-02", 1.88 
"2019-06-30", "2019-08-01", 0.40 
"2019-09-30", "2019-10-31", 0.01 
