"2014-06-30", "2014-07-30", 1.10 
"2014-09-30", "2014-10-22", 1.14 
"2014-12-31", "2015-01-28", 0.99 
"2015-03-31", "2015-05-06", 1.17 
"2015-06-30", "2015-08-05", 0.84 
"2015-09-30", "2015-11-04", 0.90 
"2015-12-31", "2016-02-17", 1.03 
"2016-03-31", "2016-05-10", 1.12 
"2016-06-30", "2016-08-03", 0.93 
"2016-09-30", "2016-11-08", 0.91 
"2016-12-31", "2017-02-27", 0.78 
"2017-03-31", "2017-05-03", 1.05 
"2017-06-30", "2017-08-07", 1.13 
"2017-09-30", "2017-11-08", 1.08 
"2017-12-31", "2018-02-27", 1.34 
"2018-03-31", "2018-05-09", 1.30 
"2018-06-30", "2018-08-07", 1.36 
"2018-09-30", "2018-11-07", 1.31 
"2018-12-31", "2019-02-20", 1.53 
"2019-03-31", "2019-05-08", 1.23 
"2019-06-30", "2019-08-07", 1.55 
