"2014-09-30", "2014-10-23", 1.47 
"2014-12-31", "2015-01-22", 0.94 
"2015-03-31", "2015-04-23", 1.12 
"2015-06-30", "2015-07-23", 1.76 
"2015-09-30", "2015-10-22", 2.16 
"2015-12-31", "2016-01-21", 1.46 
"2016-03-31", "2016-04-21", 1.45 
"2016-06-30", "2016-07-21", 2.12 
"2016-09-30", "2016-10-20", 2.20 
"2016-12-31", "2017-02-08", 1.56 
"2017-03-31", "2017-04-26", 1.05 
"2017-06-30", "2017-07-26", 2.51 
"2017-09-30", "2017-10-25", 2.24 
"2017-12-31", "2018-01-25", 0.83 
"2018-03-31", "2018-04-23", 0.14 
"2018-06-30", "2018-07-26", 1.66 
"2018-09-30", "2018-10-25", 1.91 
"2018-12-31", "2019-01-24", 0.75 
"2019-03-31", "2019-04-25", 0.17 
"2019-06-30", "2019-07-25", 2.17 
"2019-09-30", "2019-10-24", 2.63 
