"2014-09-30", "2014-10-23", 1.27 
"2014-12-31", "2015-01-29", 1.30 
"2015-03-31", "2015-04-23", 1.28 
"2015-06-30", "2015-07-30", 1.44 
"2015-09-30", "2015-10-29", 1.16 
"2015-12-31", "2016-02-03", 1.13 
"2016-03-31", "2016-04-28", 1.11 
"2016-06-30", "2016-07-28", 1.13 
"2016-09-30", "2016-10-27", 1.23 
"2016-12-31", "2017-02-16", 1.26 
"2017-03-31", "2017-04-27", 1.38 
"2017-06-30", "2017-07-27", 1.56 
"2017-09-30", "2017-10-26", 1.44 
"2017-12-31", "2018-02-08", 1.48 
"2018-03-31", "2018-04-26", 1.68 
"2018-06-30", "2018-07-26", 2.07 
"2018-09-30", "2018-10-24", 2.02 
"2018-12-31", "2019-02-04", 2.14 
"2019-03-31", "2019-04-25", 2.39 
"2019-06-30", "2019-07-24", 2.64 
"2019-09-30", "2019-10-23", 2.79 
