"2014-09-30", "2014-10-28", 0.62 
"2014-12-31", "2015-01-28", 0.63 
"2015-03-31", "2015-04-29", 0.63 
"2015-06-30", "2015-08-04", 0.64 
"2015-09-30", "2015-10-27", 0.65 
"2015-12-31", "2016-02-05", 0.63 
"2016-03-31", "2016-04-28", 0.57 
"2016-06-30", "2016-08-04", 0.59 
"2016-09-30", "2016-11-01", 0.56 
"2016-12-31", "2017-02-07", 0.58 
"2017-03-31", "2017-05-02", 0.60 
"2017-06-30", "2017-08-02", 0.65 
"2017-09-30", "2017-11-02", 0.66 
"2017-12-31", "2018-02-01", 0.70 
"2018-03-31", "2018-05-02", 0.78 
"2018-06-30", "2018-07-31", 0.83 
"2018-09-30", "2018-11-01", 0.82 
"2018-12-31", "2019-02-05", 0.86 
"2019-03-31", "2019-05-01", 1.00 
"2019-06-30", "2019-07-30", 1.05 
"2019-09-30", "2019-10-31", 1.06 
