"2014-09-30", "2014-11-06", 0.40 
"2014-12-31", "2015-02-19", 0.53 
"2015-03-31", "2015-05-14", 0.50 
"2015-06-30", "2015-08-06", 0.54 
"2015-09-30", "2015-11-05", 0.59 
"2015-12-31", "2016-02-18", 0.80 
"2016-03-31", "2016-05-05", 0.68 
"2016-06-30", "2016-08-04", 0.74 
"2016-09-30", "2016-11-03", 0.83 
"2016-12-31", "2017-02-16", 1.04 
"2017-03-31", "2017-05-04", 0.93 
"2017-06-30", "2017-08-03", 1.34 
"2017-09-30", "2017-11-02", 1.62 
"2017-12-31", "2018-02-15", 1.71 
"2018-03-31", "2018-05-03", 1.66 
"2018-06-30", "2018-08-02", 1.93 
"2018-09-30", "2018-11-01", 2.11 
"2018-12-31", "2019-02-14", 2.25 
"2019-03-31", "2019-05-02", 2.31 
"2019-06-30", "2019-08-01", 2.44 
"2019-09-30", "2019-10-31", 2.69 
