"2014-09-30", "2014-10-22", 0.58 
"2014-12-31", "2015-01-21", 0.63 
"2015-03-31", "2015-04-22", 0.57 
"2015-06-30", "2015-07-23", 0.58 
"2015-09-30", "2015-10-21", 0.65 
"2015-12-31", "2016-01-20", 0.63 
"2016-03-31", "2016-04-20", 0.59 
"2016-06-30", "2016-07-20", 0.65 
"2016-09-30", "2016-10-19", 0.73 
"2016-12-31", "2017-01-25", 0.75 
"2017-03-31", "2017-04-26", 0.71 
"2017-06-30", "2017-07-26", 0.81 
"2017-09-30", "2017-10-25", 0.88 
"2017-12-31", "2018-01-24", 0.86 
"2018-03-31", "2018-04-25", 0.83 
"2018-06-30", "2018-07-25", 0.90 
"2018-09-30", "2018-10-24", 0.99 
"2018-12-31", "2019-01-23", 1.05 
"2019-03-31", "2019-04-24", 0.89 
"2019-06-30", "2019-07-24", 0.92 
"2019-09-30", "2019-10-23", 0.95 
