"2014-07-31", "2014-08-28", 1.26 
"2014-10-31", "2014-12-03", 1.99 
"2015-01-31", "2015-02-25", 2.09 
"2015-04-30", "2015-05-28", 2.13 
"2015-07-31", "2015-08-26", 2.24 
"2015-10-31", "2015-12-02", 2.51 
"2016-01-31", "2016-03-03", 2.41 
"2016-04-30", "2016-06-02", 2.53 
"2016-07-31", "2016-09-01", 2.89 
"2016-10-31", "2016-12-08", 3.47 
"2017-01-31", "2017-03-02", 3.63 
"2017-04-30", "2017-06-01", 3.69 
"2017-07-31", "2017-08-24", 4.10 
"2017-10-31", "2017-12-06", 4.59 
"2018-01-31", "2018-03-15", 5.12 
"2018-04-30", "2018-06-07", 4.88 
"2018-07-31", "2018-09-06", 4.98 
"2018-10-31", "2018-12-06", 5.85 
"2019-01-31", "2019-03-14", 5.55 
"2019-04-30", "2019-06-13", 5.21 
"2019-07-31", "2019-09-12", 5.16 
