"2014-09-30", "2014-10-15", -0.01 
"2014-12-31", "2015-01-15", 0.25 
"2015-03-31", "2015-04-15", 0.27 
"2015-06-30", "2015-07-15", 0.45 
"2015-09-30", "2015-10-14", 0.37 
"2015-12-31", "2016-01-19", 0.28 
"2016-03-31", "2016-04-14", 0.21 
"2016-06-30", "2016-07-18", 0.36 
"2016-09-30", "2016-10-17", 0.41 
"2016-12-31", "2017-01-13", 0.40 
"2017-03-31", "2017-04-18", 0.41 
"2017-06-30", "2017-07-18", 0.46 
"2017-09-30", "2017-10-13", 0.48 
"2017-12-31", "2018-01-17", 0.47 
"2018-03-31", "2018-04-16", 0.62 
"2018-06-30", "2018-07-16", 0.63 
"2018-09-30", "2018-10-15", 0.66 
"2018-12-31", "2019-01-16", 0.70 
"2019-03-31", "2019-04-16", 0.70 
"2019-06-30", "2019-07-17", 0.74 
"2019-09-30", "2019-10-16", 0.56 
