"2014-07-31", "2014-08-26", 0.44 
"2014-10-31", "2014-11-20", 0.32 
"2015-01-31", "2015-03-03", 1.48 
"2015-04-30", "2015-05-21", 0.37 
"2015-07-31", "2015-08-25", 0.49 
"2015-10-31", "2015-11-19", 0.41 
"2016-01-31", "2016-02-25", 1.53 
"2016-04-30", "2016-05-24", 0.44 
"2016-07-31", "2016-08-23", 0.57 
"2016-10-31", "2016-11-17", 0.62 
"2017-01-31", "2017-03-01", 1.95 
"2017-04-30", "2017-05-25", 0.60 
"2017-07-31", "2017-08-29", 0.69 
"2017-10-31", "2017-11-16", 0.78 
"2018-01-31", "2018-03-01", 2.42 
"2018-04-30", "2018-05-24", 0.82 
"2018-07-31", "2018-08-28", 0.91 
"2018-10-31", "2018-11-20", 0.93 
"2019-01-31", "2019-02-27", 2.72 
"2019-04-30", "2019-05-23", 1.02 
"2019-07-31", "2019-08-29", 1.08 
