"2014-09-30", "2014-10-22", 3.80 
"2014-12-31", "2015-01-29", 4.09 
"2015-03-31", "2015-04-24", 3.82 
"2015-06-30", "2015-07-24", 4.22 
"2015-09-30", "2015-10-21", 4.48 
"2015-12-31", "2016-01-27", 4.50 
"2016-03-31", "2016-04-21", 4.79 
"2016-06-30", "2016-07-21", 5.21 
"2016-09-30", "2016-10-26", 5.19 
"2016-12-31", "2017-01-26", 5.04 
"2017-03-31", "2017-04-25", 5.20 
"2017-06-30", "2017-07-25", 5.04 
"2017-09-30", "2017-10-24", 6.31 
"2017-12-31", "2018-01-25", 5.26 
"2018-03-31", "2018-04-24", 6.05 
"2018-06-30", "2018-07-24", 5.80 
"2018-09-30", "2018-10-23", 7.40 
"2018-12-31", "2019-01-29", 6.99 
"2019-03-31", "2019-04-24", 6.98 
"2019-06-30", "2019-07-23", 9.15 
"2019-09-30", "2019-10-22", 9.17 
