"2014-09-30", "2014-10-15", 5.21 
"2014-12-31", "2015-01-15", 4.82 
"2015-03-31", "2015-04-16", 4.89 
"2015-06-30", "2015-07-15", 4.96 
"2015-09-30", "2015-10-14", 5.00 
"2015-12-31", "2016-01-15", 4.75 
"2016-03-31", "2016-04-14", 4.25 
"2016-06-30", "2016-07-14", 4.78 
"2016-09-30", "2016-10-18", 5.14 
"2016-12-31", "2017-01-13", 5.14 
"2017-03-31", "2017-04-19", 5.25 
"2017-06-30", "2017-07-17", 5.24 
"2017-09-30", "2017-10-11", 5.92 
"2017-12-31", "2018-01-12", 6.24 
"2018-03-31", "2018-04-12", 6.70 
"2018-06-30", "2018-07-16", 6.66 
"2018-09-30", "2018-10-16", 7.52 
"2018-12-31", "2019-01-16", 6.08 
"2019-03-31", "2019-04-16", 6.61 
"2019-06-30", "2019-07-19", 6.41 
"2019-09-30", "2019-10-15", 7.15 
