"2014-09-30", "2014-10-24", 0.45 
"2014-12-31", "2015-01-27", 0.46 
"2015-03-31", "2015-04-28", 0.71 
"2015-06-30", "2015-07-23", 0.53 
"2015-09-30", "2015-10-27", 0.39 
"2015-12-31", "2016-01-28", 0.38 
"2016-03-31", "2016-04-28", 0.74 
"2016-06-30", "2016-07-28", 0.69 
"2016-09-30", "2016-10-27", 0.77 
"2016-12-31", "2017-01-26", 0.63 
"2017-03-31", "2017-04-27", 0.84 
"2017-06-30", "2017-07-27", 0.74 
"2017-09-30", "2017-10-26", 0.75 
"2017-12-31", "2018-02-05", 0.68 
"2018-03-31", "2018-04-26", 0.94 
"2018-06-30", "2018-07-26", 1.01 
"2018-09-30", "2018-10-25", 1.09 
"2018-12-31", "2019-01-24", 0.94 
"2019-03-31", "2019-04-25", 1.10 
"2019-06-30", "2019-07-25", 1.18 
"2019-09-30", "2019-10-31", 1.17 
