"2014-09-30", "2014-10-23", 1.72 
"2014-12-31", "2015-01-27", 1.35 
"2015-03-31", "2015-04-23", 1.86 
"2015-06-30", "2015-07-23", 1.27 
"2015-09-30", "2015-10-22", 0.75 
"2015-12-31", "2016-01-28", 0.74 
"2016-03-31", "2016-04-22", 0.67 
"2016-06-30", "2016-07-26", 1.09 
"2016-09-30", "2016-10-25", 0.85 
"2016-12-31", "2017-01-26", 0.83 
"2017-03-31", "2017-04-25", 1.28 
"2017-06-30", "2017-07-25", 1.49 
"2017-09-30", "2017-10-24", 1.95 
"2017-12-31", "2018-01-25", 2.16 
"2018-03-31", "2018-04-24", 2.82 
"2018-06-30", "2018-07-30", 2.97 
"2018-09-30", "2018-10-23", 2.86 
"2018-12-31", "2019-01-28", 2.55 
"2019-03-31", "2019-04-24", 2.94 
"2019-06-30", "2019-07-24", 2.83 
"2019-09-30", "2019-10-23", 2.66 
