"2014-09-30", "2014-10-21", 2.64 
"2014-12-31", "2015-01-27", 2.47 
"2015-03-31", "2015-04-21", 2.25 
"2015-06-30", "2015-07-22", 2.40 
"2015-09-30", "2015-10-20", 2.74 
"2015-12-31", "2016-01-26", 2.38 
"2016-03-31", "2016-05-04", 2.26 
"2016-06-30", "2016-07-26", 2.25 
"2016-09-30", "2016-10-25", 2.88 
"2016-12-31", "2017-01-31", 2.72 
"2017-03-31", "2017-04-25", 2.48 
"2017-06-30", "2017-07-25", 2.50 
"2017-09-30", "2017-10-26", -0.13 
"2017-12-31", "2018-01-30", 2.28 
"2018-03-31", "2018-04-26", 2.34 
"2018-06-30", "2018-07-24", 2.68 
"2018-09-30", "2018-10-23", 2.41 
"2018-12-31", "2019-02-05", 2.02 
"2019-03-31", "2019-04-30", 2.54 
"2019-06-30", "2019-07-23", 2.60 
"2019-09-30", "2019-10-29", 2.70 
