"2014-06-30", "2014-08-07", 0.72 
"2014-09-30", "2014-11-05", 0.74 
"2014-12-31", "2015-02-12", 0.77 
"2015-03-31", "2015-05-07", 0.78 
"2015-06-30", "2015-08-05", 0.74 
"2015-09-30", "2015-11-03", 0.88 
"2015-12-31", "2016-02-11", 0.92 
"2016-03-31", "2016-05-03", 1.02 
"2016-06-30", "2016-07-28", 0.93 
"2016-09-30", "2016-11-03", 1.05 
"2016-12-31", "2017-02-15", 1.11 
"2017-03-31", "2017-05-04", 1.06 
"2017-06-30", "2017-08-07", 1.04 
"2017-09-30", "2017-11-02", 1.11 
"2017-12-31", "2018-02-15", 1.20 
"2018-03-31", "2018-05-03", 1.34 
"2018-06-30", "2018-08-02", 1.12 
"2018-09-30", "2018-11-01", 1.24 
"2018-12-31", "2019-02-14", 1.50 
"2019-03-31", "2019-05-02", 1.37 
"2019-06-30", "2019-08-08", 1.16 
