"2014-09-30", "2014-11-06", 0.64 
"2014-12-31", "2015-02-10", 0.59 
"2015-03-31", "2015-05-07", 0.56 
"2015-06-30", "2015-08-03", 0.81 
"2015-09-30", "2015-11-04", 0.84 
"2015-12-31", "2016-02-09", 0.73 
"2016-03-31", "2016-05-04", 0.67 
"2016-06-30", "2016-08-03", 0.93 
"2016-09-30", "2016-11-02", 0.97 
"2016-12-31", "2017-02-07", 0.86 
"2017-03-31", "2017-05-03", 0.75 
"2017-06-30", "2017-08-03", 1.03 
"2017-09-30", "2017-11-01", 1.08 
"2017-12-31", "2018-02-07", 0.99 
"2018-03-31", "2018-05-02", 1.05 
"2018-06-30", "2018-08-02", 1.38 
"2018-09-30", "2018-10-31", 1.42 
"2018-12-31", "2019-02-07", 1.32 
"2019-03-31", "2019-05-01", 1.24 
"2019-06-30", "2019-07-31", 1.60 
"2019-09-30", "2019-10-31", 1.70 
