"2014-09-30", "2014-10-20", 4.15 
"2014-12-31", "2015-02-03", 3.84 
"2015-03-31", "2015-04-21", 3.88 
"2015-06-30", "2015-07-22", 4.45 
"2015-09-30", "2015-10-20", 4.59 
"2015-12-31", "2016-02-02", 2.17 
"2016-03-31", "2016-04-26", -0.88 
"2016-06-30", "2016-07-21", 0.87 
"2016-09-30", "2016-10-25", 0.79 
"2016-12-31", "2017-02-02", 0.55 
"2017-03-31", "2017-04-25", 1.60 
"2017-06-30", "2017-07-25", 2.32 
"2017-09-30", "2017-10-24", 1.33 
"2017-12-31", "2018-02-06", 1.34 
"2018-03-31", "2018-04-25", 2.13 
"2018-06-30", "2018-07-26", 2.87 
"2018-09-30", "2018-10-25", 2.16 
"2018-12-31", "2019-02-06", 1.72 
"2019-03-31", "2019-04-24", 3.40 
"2019-06-30", "2019-07-23", 3.99 
"2019-09-30", "2019-10-22", 3.82 
