"2014-06-30", "2014-08-04", 0.91 
"2014-09-30", "2014-11-04", 1.00 
"2014-12-31", "2015-02-05", 1.48 
"2015-03-31", "2015-05-27", 0.90 
"2015-06-30", "2015-08-06", 0.87 
"2015-09-30", "2015-11-04", 1.01 
"2015-12-31", "2016-02-02", 1.59 
"2016-03-31", "2016-06-01", 0.98 
"2016-06-30", "2016-08-10", 0.88 
"2016-09-30", "2016-11-10", 0.95 
"2016-12-31", "2017-02-07", 1.64 
"2017-03-31", "2017-05-31", 0.73 
"2017-06-30", "2017-08-08", 0.80 
"2017-09-30", "2017-11-06", 1.33 
"2017-12-31", "2018-02-07", 1.77 
"2018-03-31", "2018-05-30", 0.63 
"2018-06-30", "2018-08-08", 1.32 
"2018-09-30", "2018-11-07", 1.27 
"2018-12-31", "2019-02-06", 1.76 
"2019-03-31", "2019-05-29", 0.63 
"2019-06-30", "2019-08-07", 0.95 
