"2014-07-31", "2014-09-23", 0.20 
"2014-10-31", "2014-11-24", 0.20 
"2015-01-31", "2015-02-25", 0.20 
"2015-04-30", "2015-05-27", 0.22 
"2015-07-31", "2015-09-23", 0.22 
"2015-10-31", "2015-11-23", 0.21 
"2016-01-31", "2016-02-23", 0.24 
"2016-04-30", "2016-05-25", 0.32 
"2016-07-31", "2016-09-20", 0.29 
"2016-10-31", "2016-11-21", 0.28 
"2017-01-31", "2017-02-21", 0.29 
"2017-04-30", "2017-05-24", 0.37 
"2017-07-31", "2017-09-19", 0.35 
"2017-10-31", "2017-11-21", 0.33 
"2018-01-31", "2018-02-26", 0.47 
"2018-04-30", "2018-05-23", 0.52 
"2018-07-31", "2018-09-19", 0.42 
"2018-10-31", "2018-11-20", 0.47 
"2019-01-31", "2019-02-20", 0.52 
"2019-04-30", "2019-05-22", 0.66 
"2019-07-31", "2019-09-04", 0.60 
