"2014-07-31", "2014-08-21", 0.13 
"2014-10-31", "2014-11-19", 0.14 
"2015-01-31", "2015-02-25", 0.14 
"2015-04-30", "2015-05-20", 0.16 
"2015-07-31", "2015-08-20", 0.19 
"2015-10-31", "2015-11-18", 0.21 
"2016-01-31", "2016-02-24", 0.19 
"2016-04-30", "2016-05-18", 0.24 
"2016-07-31", "2016-08-31", 0.24 
"2016-10-31", "2016-11-17", 0.24 
"2017-01-31", "2017-02-28", 0.28 
"2017-04-30", "2017-05-18", 0.28 
"2017-07-31", "2017-08-22", 0.33 
"2017-10-31", "2017-11-21", 0.39 
"2018-01-31", "2018-02-28", 0.35 
"2018-04-30", "2018-05-29", 0.74 
"2018-07-31", "2018-08-29", 0.71 
"2018-10-31", "2018-11-27", 0.61 
"2019-01-31", "2019-03-04", 0.70 
"2019-04-30", "2019-06-04", 0.93 
"2019-07-31", "2019-08-22", 0.66 
