"2014-08-31", "2014-09-29", 0.78 
"2014-11-30", "2014-12-18", 0.86 
"2015-02-28", "2015-03-18", 0.85 
"2015-05-31", "2015-07-16", 0.86 
"2015-08-31", "2015-09-24", 0.93 
"2015-11-30", "2015-12-21", 1.03 
"2016-02-29", "2016-03-22", 1.05 
"2016-05-31", "2016-07-19", 1.08 
"2016-08-31", "2016-09-27", 1.26 
"2016-11-30", "2016-12-22", 1.13 
"2017-02-28", "2017-03-22", 1.11 
"2017-05-31", "2017-07-20", 1.18 
"2017-08-31", "2017-09-26", 1.48 
"2017-11-30", "2017-12-21", 1.31 
"2018-02-28", "2018-03-22", 1.37 
"2018-05-31", "2018-07-19", 1.77 
"2018-08-31", "2018-09-25", 1.93 
"2018-11-30", "2018-12-20", 1.76 
"2019-02-28", "2019-03-21", 1.84 
"2019-05-31", "2019-07-16", 2.07 
"2019-08-31", "2019-09-24", 2.32 
