"2014-09-30", "2014-10-21", 1.37 
"2014-12-31", "2015-01-21", 0.87 
"2015-03-31", "2015-04-21", 1.28 
"2015-06-30", "2015-07-22", 1.33 
"2015-09-30", "2015-10-20", 1.38 
"2015-12-31", "2016-01-27", 1.14 
"2016-03-31", "2016-04-19", 1.35 
"2016-06-30", "2016-07-19", 1.47 
"2016-09-30", "2016-10-25", 1.56 
"2016-12-31", "2017-01-25", 1.40 
"2017-03-31", "2017-04-25", 1.43 
"2017-06-30", "2017-07-26", 1.40 
"2017-09-30", "2017-10-24", 1.59 
"2017-12-31", "2018-01-24", 1.51 
"2018-03-31", "2018-04-26", 1.82 
"2018-06-30", "2018-07-26", 1.91 
"2018-09-30", "2018-10-25", 2.05 
"2018-12-31", "2019-01-24", 2.03 
"2019-03-31", "2019-04-25", 2.15 
"2019-06-30", "2019-07-23", 2.32 
"2019-09-30", "2019-10-22", 2.36 
