"2014-08-31", "2014-09-12", 0.32 
"2014-11-30", "2014-12-16", 0.28 
"2015-02-28", "2015-03-20", 0.99 
"2015-05-31", "2015-06-23", 1.08 
"2015-08-31", "2015-09-22", 0.68 
"2015-11-30", "2015-12-18", 0.54 
"2016-02-29", "2016-04-05", 1.21 
"2016-05-31", "2016-06-30", 1.10 
"2016-08-31", "2016-10-04", 0.88 
"2016-11-30", "2016-12-20", 0.64 
"2017-02-28", "2017-03-27", 1.32 
"2017-05-31", "2017-06-27", 1.18 
"2017-08-31", "2017-09-26", 0.99 
"2017-11-30", "2017-12-19", 0.73 
"2018-02-28", "2018-03-22", 1.71 
"2018-05-31", "2018-06-21", 1.39 
"2018-08-31", "2018-09-20", 1.34 
"2018-11-30", "2018-12-18", 0.92 
"2019-02-28", "2019-03-21", 1.80 
"2019-05-31", "2019-06-20", 1.76 
"2019-08-31", "2019-09-19", 1.38 
