"2014-09-30", "2014-10-24", 1.02 
"2014-12-31", "2015-02-13", 1.17 
"2015-03-31", "2015-04-24", 1.65 
"2015-06-30", "2015-07-24", 0.76 
"2015-09-30", "2015-10-23", 1.40 
"2015-12-31", "2016-02-10", 1.01 
"2016-03-31", "2016-04-26", 1.52 
"2016-06-30", "2016-07-26", 0.98 
"2016-09-30", "2016-10-26", 1.96 
"2016-12-31", "2017-02-09", 0.81 
"2017-03-31", "2017-04-26", 1.79 
"2017-06-30", "2017-07-26", 1.07 
"2017-09-30", "2017-10-25", 1.48 
"2017-12-31", "2018-02-16", 1.26 
"2018-03-31", "2018-04-25", 1.91 
"2018-06-30", "2018-07-25", 1.36 
"2018-09-30", "2018-10-24", 2.13 
"2018-12-31", "2019-02-07", 0.91 
"2019-03-31", "2019-04-24", 2.05 
"2019-06-30", "2019-07-24", 0.99 
"2019-09-30", "2019-10-28", 1.91 
