"2014-09-30", "2014-10-28", 0.73 
"2014-12-31", "2015-01-27", 1.22 
"2015-03-31", "2015-05-05", 0.39 
"2015-06-30", "2015-07-30", 0.15 
"2015-09-30", "2015-10-29", 0.65 
"2015-12-31", "2016-01-28", 1.83 
"2016-03-31", "2016-05-10", 0.50 
"2016-06-30", "2016-08-02", 0.07 
"2016-09-30", "2016-11-01", 0.53 
"2016-12-31", "2017-01-31", 2.48 
"2017-03-31", "2017-05-09", 0.84 
"2017-06-30", "2017-07-27", 0.34 
"2017-09-30", "2017-10-31", 0.66 
"2017-12-31", "2018-01-30", 2.24 
"2018-03-31", "2018-05-08", 1.30 
"2018-06-30", "2018-07-26", 0.15 
"2018-09-30", "2018-10-30", 0.97 
"2018-12-31", "2019-02-05", 2.30 
"2019-03-31", "2019-05-07", 1.56 
"2019-06-30", "2019-07-30", 0.30 
"2019-09-30", "2019-10-29", 1.19 
