"2014-09-30", "2014-10-30", 1.89 
"2014-12-31", "2015-01-29", 1.64 
"2015-03-31", "2015-04-30", 1.84 
"2015-06-30", "2015-07-27", 2.01 
"2015-09-30", "2015-10-29", 1.84 
"2015-12-31", "2016-01-28", 1.59 
"2016-03-31", "2016-04-28", 1.71 
"2016-06-30", "2016-07-28", 1.68 
"2016-09-30", "2016-10-27", 1.86 
"2016-12-31", "2017-01-26", 1.51 
"2017-03-31", "2017-04-27", 1.83 
"2017-06-30", "2017-07-27", 1.98 
"2017-09-30", "2017-10-27", 2.19 
"2017-12-31", "2018-02-01", 1.62 
"2018-03-31", "2018-04-26", 2.23 
"2018-06-30", "2018-07-27", 2.22 
"2018-09-30", "2018-10-25", 2.34 
"2018-12-31", "2019-01-31", 1.39 
"2019-03-31", "2019-04-25", 1.77 
"2019-06-30", "2019-07-25", 1.99 
"2019-09-30", "2019-10-24", 1.94 
