"2014-09-30", "2014-10-28", 0.61 
"2014-12-31", "2015-02-03", 0.59 
"2015-03-31", "2015-04-28", 0.49 
"2015-06-30", "2015-07-28", 0.46 
"2015-09-30", "2015-10-26", 0.35 
"2015-12-31", "2016-02-02", 0.55 
"2016-03-31", "2016-04-26", 9.76 
"2016-06-30", "2016-07-26", 0.59 
"2016-09-30", "2016-10-25", 0.56 
"2016-12-31", "2017-01-31", 0.75 
"2017-03-31", "2017-04-25", 0.39 
"2017-06-30", "2017-07-25", 0.53 
"2017-09-30", "2017-10-24", 0.37 
"2017-12-31", "2018-01-30", 0.34 
"2018-03-31", "2018-04-24", 0.57 
"2018-06-30", "2018-07-24", 0.31 
"2018-09-30", "2018-10-23", 0.58 
"2018-12-31", "2019-01-29", 0.31 
"2019-03-31", "2019-04-30", 0.28 
"2019-06-30", "2019-07-30", 0.83 
"2019-09-30", "2019-10-22", 0.71 
