"2014-09-30", "2014-10-30", 0.85 
"2014-12-31", "2015-02-04", 0.63 
"2015-03-31", "2015-05-06", 0.92 
"2015-06-30", "2015-07-30", 0.70 
"2015-09-30", "2015-10-29", 0.65 
"2015-12-31", "2016-02-04", 1.22 
"2016-03-31", "2016-04-28", 1.19 
"2016-06-30", "2016-07-28", 1.10 
"2016-09-30", "2016-10-27", 1.00 
"2016-12-31", "2017-02-02", 2.98 
"2017-03-31", "2017-04-27", 2.72 
"2017-06-30", "2017-07-27", 1.08 
"2017-09-30", "2017-11-01", 1.21 
"2017-12-31", "2018-02-07", 1.57 
"2018-03-31", "2018-05-02", 1.38 
"2018-06-30", "2018-08-01", 1.52 
"2018-09-30", "2018-10-29", 1.22 
"2018-12-31", "2019-01-30", 1.78 
"2019-03-31", "2019-04-24", 1.81 
"2019-06-30", "2019-07-24", 1.40 
"2019-09-30", "2019-10-23", 1.51 
