"2014-09-30", "2014-10-29", 1.29 
"2014-12-31", "2015-02-03", 1.27 
"2015-03-31", "2015-04-29", 1.01 
"2015-06-30", "2015-07-29", 1.16 
"2015-09-30", "2015-10-30", 0.97 
"2015-12-31", "2016-02-03", 1.17 
"2016-03-31", "2016-04-29", 0.88 
"2016-06-30", "2016-08-02", 1.07 
"2016-09-30", "2016-11-01", 1.15 
"2016-12-31", "2017-02-02", 1.12 
"2017-03-31", "2017-05-02", 0.96 
"2017-06-30", "2017-08-01", 1.15 
"2017-09-30", "2017-10-31", 1.25 
"2017-12-31", "2018-02-01", 1.29 
"2018-03-31", "2018-05-01", 1.10 
"2018-06-30", "2018-07-31", 1.39 
"2018-09-30", "2018-10-30", 1.43 
"2018-12-31", "2019-02-01", 1.46 
"2019-03-31", "2019-04-30", 1.26 
"2019-06-30", "2019-07-30", 1.53 
"2019-09-30", "2019-10-29", 1.52 
