"2014-09-30", "2014-10-29", 0.78 
"2014-12-31", "2015-02-13", 0.48 
"2015-03-31", "2015-04-29", 0.71 
"2015-06-30", "2015-07-29", 0.59 
"2015-09-30", "2015-10-30", 0.83 
"2015-12-31", "2016-02-03", 0.38 
"2016-03-31", "2016-05-06", 0.68 
"2016-06-30", "2016-08-09", 0.65 
"2016-09-30", "2016-10-26", 0.91 
"2016-12-31", "2017-02-08", 0.44 
"2017-03-31", "2017-05-03", 0.65 
"2017-06-30", "2017-08-02", 0.54 
"2017-09-30", "2017-11-02", 0.85 
"2017-12-31", "2018-02-07", 0.55 
"2018-03-31", "2018-05-02", 0.96 
"2018-06-30", "2018-08-02", 0.71 
"2018-09-30", "2018-11-01", 0.88 
"2018-12-31", "2019-02-08", 0.58 
"2019-03-31", "2019-05-02", 0.87 
"2019-06-30", "2019-08-01", 0.60 
"2019-09-30", "2019-10-31", 0.92 
