"2014-09-30", "2014-10-24", 0.24 
"2014-12-31", "2015-01-29", 0.26 
"2015-03-31", "2015-04-28", 0.23 
"2015-06-30", "2015-07-28", 0.47 
"2015-09-30", "2015-10-27", 0.45 
"2015-12-31", "2016-01-28", 0.58 
"2016-03-31", "2016-04-28", 0.68 
"2016-06-30", "2016-07-28", 0.52 
"2016-09-30", "2016-10-27", 0.26 
"2016-12-31", "2017-01-26", 0.30 
"2017-03-31", "2017-04-27", 0.39 
"2017-06-30", "2017-07-26", 0.56 
"2017-09-30", "2017-10-26", 0.43 
"2017-12-31", "2018-01-24", 0.39 
"2018-03-31", "2018-04-25", 0.43 
"2018-06-30", "2018-07-25", 0.27 
"2018-09-30", "2018-10-24", 0.29 
"2018-12-31", "2019-01-24", 0.30 
"2019-03-31", "2019-04-25", 0.44 
"2019-06-30", "2019-07-24", 0.28 
"2019-09-30", "2019-10-23", 0.34 
