"2014-09-30", "2014-10-10", 0.23 
"2014-12-31", "2015-01-15", 0.20 
"2015-03-31", "2015-04-14", 0.22 
"2015-06-30", "2015-07-14", 0.24 
"2015-09-30", "2015-10-13", 0.23 
"2015-12-31", "2016-01-15", 0.20 
"2016-03-31", "2016-04-12", 0.22 
"2016-06-30", "2016-07-12", 0.23 
"2016-09-30", "2016-10-11", 0.22 
"2016-12-31", "2017-01-18", 0.20 
"2017-03-31", "2017-04-12", 0.23 
"2017-06-30", "2017-07-12", 0.26 
"2017-09-30", "2017-10-11", 0.25 
"2017-12-31", "2018-01-17", 0.21 
"2018-03-31", "2018-04-11", 0.30 
"2018-06-30", "2018-07-11", 0.37 
"2018-09-30", "2018-10-10", 0.34 
"2018-12-31", "2019-01-17", 0.29 
"2019-03-31", "2019-04-11", 0.34 
"2019-06-30", "2019-07-11", 0.36 
"2019-09-30", "2019-10-11", 0.37 
