"2014-09-30", "2014-10-28", 0.43 
"2014-12-31", "2015-01-28", 0.54 
"2015-03-31", "2015-04-22", 0.42 
"2015-06-30", "2015-07-29", 0.50 
"2015-09-30", "2015-11-04", 0.57 
"2015-12-31", "2016-01-27", 0.79 
"2016-03-31", "2016-04-27", 0.77 
"2016-06-30", "2016-07-27", 0.97 
"2016-09-30", "2016-11-02", 1.09 
"2016-12-31", "2017-02-01", 1.41 
"2017-03-31", "2017-05-03", 1.04 
"2017-06-30", "2017-07-26", 1.32 
"2017-09-30", "2017-11-01", 1.59 
"2017-12-31", "2018-01-31", 2.21 
"2018-03-31", "2018-04-25", 1.69 
"2018-06-30", "2018-07-25", 1.74 
"2018-09-30", "2018-10-30", 1.76 
"2018-12-31", "2019-01-30", 2.38 
"2019-03-31", "2019-04-24", 0.85 
"2019-06-30", "2019-07-24", 0.91 
"2019-09-30", "2019-10-30", 2.12 
