"2014-08-31", "2014-09-17", 2.10 
"2014-11-30", "2014-12-17", 2.14 
"2015-02-28", "2015-03-18", 2.01 
"2015-05-31", "2015-06-17", 2.66 
"2015-08-31", "2015-09-16", 2.42 
"2015-11-30", "2015-12-16", 2.58 
"2016-02-29", "2016-03-16", 2.51 
"2016-05-31", "2016-06-21", 3.30 
"2016-08-31", "2016-09-20", 2.90 
"2016-11-30", "2016-12-20", 2.80 
"2017-02-28", "2017-03-21", 2.35 
"2017-05-31", "2017-06-20", 4.25 
"2017-08-31", "2017-09-19", 2.51 
"2017-11-30", "2017-12-19", 3.18 
"2018-02-28", "2018-03-20", 3.72 
"2018-05-31", "2018-06-19", 5.91 
"2018-08-31", "2018-09-17", 3.46 
"2018-11-30", "2018-12-18", 4.03 
"2019-02-28", "2019-03-19", 3.03 
"2019-05-31", "2019-06-25", 5.01 
"2019-08-31", "2019-09-17", 3.05 
