"2014-06-30", "2014-07-29", 0.75 
"2014-09-30", "2014-10-30", 0.80 
"2014-12-31", "2015-02-05", 0.87 
"2015-03-31", "2015-04-30", 0.65 
"2015-06-30", "2015-07-23", 0.74 
"2015-09-30", "2015-11-03", 0.90 
"2015-12-31", "2016-02-09", 0.93 
"2016-03-31", "2016-05-03", 0.79 
"2016-06-30", "2016-07-26", 0.90 
"2016-09-30", "2016-11-01", 1.00 
"2016-12-31", "2017-02-07", 1.14 
"2017-03-31", "2017-05-02", 0.86 
"2017-06-30", "2017-08-02", 1.02 
"2017-09-30", "2017-10-31", 1.18 
"2017-12-31", "2018-02-06", 1.36 
"2018-03-31", "2018-05-01", 1.09 
"2018-06-30", "2018-07-31", 1.23 
"2018-09-30", "2018-10-30", 1.33 
"2018-12-31", "2019-02-12", 2.07 
"2019-03-31", "2019-04-30", 1.64 
"2019-06-30", "2019-08-06", 1.78 
