"2014-09-30", "2014-10-22", 2.05 
"2014-12-31", "2015-01-28", 2.19 
"2015-03-31", "2015-04-29", 2.14 
"2015-06-30", "2015-07-29", 2.27 
"2015-09-30", "2015-10-28", 2.28 
"2015-12-31", "2016-01-27", 2.40 
"2016-03-31", "2016-04-27", 2.34 
"2016-06-30", "2016-07-27", 2.44 
"2016-09-30", "2016-10-26", 2.48 
"2016-12-31", "2017-01-27", 1.89 
"2017-03-31", "2017-04-26", 2.48 
"2017-06-30", "2017-07-26", 2.45 
"2017-09-30", "2017-10-25", 2.52 
"2017-12-31", "2018-01-24", 2.50 
"2018-03-31", "2018-04-25", 2.65 
"2018-06-30", "2018-07-25", 2.62 
"2018-09-30", "2018-10-24", 2.89 
"2018-12-31", "2019-01-30", 3.07 
"2019-03-31", "2019-04-24", 2.56 
"2019-06-30", "2019-07-24", 2.77 
"2019-09-30", "2019-10-23", 3.14 
