"2014-09-30", "2014-10-17", 0.37 
"2014-12-31", "2015-01-23", 0.54 
"2015-03-31", "2015-04-17", 0.18 
"2015-06-30", "2015-07-17", 0.30 
"2015-09-30", "2015-10-16", 0.28 
"2015-12-31", "2016-01-22", 0.50 
"2016-03-31", "2016-04-22", 0.20 
"2016-06-30", "2016-07-22", 0.49 
"2016-09-30", "2016-10-21", 0.31 
"2016-12-31", "2017-01-20", 0.44 
"2017-03-31", "2017-04-21", 0.20 
"2017-06-30", "2017-07-21", 0.27 
"2017-09-30", "2017-10-20", 0.28 
"2017-12-31", "2018-01-24", 0.26 
"2018-03-31", "2018-04-20", 0.15 
"2018-06-30", "2018-07-20", 0.18 
"2018-09-30", "2018-10-30", 0.13 
"2018-12-31", "2019-01-31", 0.16 
"2019-03-31", "2019-04-30", 0.14 
"2019-06-30", "2019-07-31", 0.17 
"2019-09-30", "2019-10-30", 0.15 
