"2014-08-31", "2014-09-17", 0.61 
"2014-11-30", "2014-12-17", 0.80 
"2015-02-28", "2015-03-18", 0.70 
"2015-05-31", "2015-07-01", 0.75 
"2015-08-31", "2015-09-22", 0.79 
"2015-11-30", "2015-12-17", 0.82 
"2016-02-29", "2016-03-23", 0.65 
"2016-05-31", "2016-06-29", 0.66 
"2016-08-31", "2016-09-21", 0.78 
"2016-11-30", "2016-12-20", 0.85 
"2017-02-28", "2017-03-21", 0.72 
"2017-05-31", "2017-06-28", 0.73 
"2017-08-31", "2017-09-20", 0.71 
"2017-11-30", "2017-12-20", 0.82 
"2018-02-28", "2018-03-21", 0.79 
"2018-05-31", "2018-06-27", 0.79 
"2018-08-31", "2018-09-18", 0.71 
"2018-11-30", "2018-12-19", 0.85 
"2019-02-28", "2019-03-20", 0.83 
"2019-05-31", "2019-06-26", 0.83 
"2019-08-31", "2019-09-18", 0.79 
