"2014-09-30", "2014-10-22", 0.99 
"2014-12-31", "2015-02-02", 1.00 
"2015-03-31", "2015-04-22", 1.04 
"2015-06-30", "2015-07-27", 1.05 
"2015-09-30", "2015-10-26", 1.08 
"2015-12-31", "2016-02-03", 1.05 
"2016-03-31", "2016-04-26", 1.08 
"2016-06-30", "2016-07-27", 1.11 
"2016-09-30", "2016-10-25", 1.15 
"2016-12-31", "2017-02-01", 1.15 
"2017-03-31", "2017-04-19", 1.15 
"2017-06-30", "2017-07-26", 1.19 
"2017-09-30", "2017-10-24", 1.23 
"2017-12-31", "2018-02-07", 1.24 
"2018-03-31", "2018-04-18", 1.47 
"2018-06-30", "2018-07-25", 1.51 
"2018-09-30", "2018-10-24", 1.59 
"2018-12-31", "2019-02-05", 1.56 
"2019-03-31", "2019-04-17", 1.64 
"2019-06-30", "2019-07-24", 1.67 
"2019-09-30", "2019-10-23", 1.73 
