"2015-02-28", "2015-04-08 ", 0.57 
"2015-05-31", "2015-07-28 ", 0.61 
"2015-08-31", "2015-10-07 ", 0.79 
"2015-11-30", "2015-12-15 ", 0.76 
"2016-02-29", "2016-04-06 ", 0.70 
"2016-05-31", "2016-07-28 ", 0.73 
"2016-08-31", "2016-10-05 ", 0.86 
"2016-11-30", "2017-01-09 ", 0.89 
"2016-12-31", "NaN-NaN-NaN", 0.89 
"2016-12-31", "2017-03-02 ", 0.87 
"2017-03-31", "2017-05-04 ", 0.85 
"2017-06-30", "2017-08-03 ", 0.94 
"2017-09-30", "2017-11-08 ", 1.15 
"2017-12-31", "2018-02-15 ", 1.07 
"2018-03-31", "2018-05-03 ", 1.13 
"2018-06-30", "2018-08-02 ", 1.29 
"2018-09-30", "2018-10-30 ", 1.44 
"2018-12-31", "2019-02-13 ", 1.33 
"2019-03-31", "2019-05-02 ", 1.34 
"2019-06-30", "2019-07-30 ", 1.51 
"2019-09-30", "2019-10-31 ", 1.70 
