"2014-06-30", "2014-08-04", 0.53 
"2014-09-30", "2014-11-06", 0.53 
"2014-12-31", "2015-02-11", 0.61 
"2015-03-31", "2015-05-04", 0.50 
"2015-06-30", "2015-07-29", 0.57 
"2015-09-30", "2015-11-04", 0.61 
"2015-12-31", "2016-02-10", 0.65 
"2016-03-31", "2016-05-03", 0.55 
"2016-06-30", "2016-08-04", 0.64 
"2016-09-30", "2016-11-02", 0.66 
"2016-12-31", "2017-02-21", 0.74 
"2017-03-31", "2017-05-09", 0.69 
"2017-06-30", "2017-08-08", 0.69 
"2017-09-30", "2017-11-06", 0.68 
"2017-12-31", "2018-02-20", 0.76 
"2018-03-31", "2018-05-08", 0.74 
"2018-06-30", "2018-08-06", 0.82 
"2018-09-30", "2018-11-06", 0.81 
"2018-12-31", "2019-02-20", 1.12 
"2019-03-31", "2019-05-07", 0.80 
"2019-06-30", "2019-08-06", 0.84 
