"2014-09-30", "2014-11-04", 0.47 
"2014-12-31", "2015-02-05", 0.52 
"2015-03-31", "2015-05-05", 0.61 
"2015-06-30", "2015-08-05", 0.58 
"2015-09-30", "2015-10-28", 0.58 
"2015-12-31", "2016-02-04", 0.65 
"2016-03-31", "2016-05-04", 0.74 
"2016-06-30", "2016-08-03", 0.69 
"2016-09-30", "2016-11-01", 0.64 
"2016-12-31", "2017-02-07", 0.71 
"2017-03-31", "2017-05-03", 0.74 
"2017-06-30", "2017-08-03", 0.75 
"2017-09-30", "2017-11-02", 0.73 
"2017-12-31", "2018-02-07", 0.73 
"2018-03-31", "2018-05-03", 0.90 
"2018-06-30", "2018-08-02", 0.90 
"2018-09-30", "2018-10-31", 0.85 
"2018-12-31", "2019-02-07", 0.94 
"2019-03-31", "2019-05-02", 0.92 
"2019-06-30", "2019-08-01", 0.94 
"2019-09-30", "2019-10-31", 1.06 
