"2014-09-30", "2014-10-28", 1.05 
"2014-12-31", "2015-02-20", 1.07 
"2015-03-31", "2015-04-28", 1.08 
"2015-06-30", "2015-07-28", 1.15 
"2015-09-30", "2015-10-27", 1.18 
"2015-12-31", "2016-02-12", 1.14 
"2016-03-31", "2016-04-28", 0.92 
"2016-06-30", "2016-07-28", 1.25 
"2016-09-30", "2016-10-27", 1.29 
"2016-12-31", "2017-02-14", 1.39 
"2017-03-31", "2017-05-02", 1.38 
"2017-06-30", "2017-08-01", 1.91 
"2017-09-30", "2017-10-31", 2.11 
"2017-12-31", "2018-02-16", 1.86 
"2018-03-31", "2018-05-01", 1.93 
"2018-06-30", "2018-07-31", 2.21 
"2018-09-30", "2018-10-30", 1.84 
"2018-12-31", "2019-02-12", 1.40 
"2019-03-31", "2019-04-30", 1.02 
"2019-06-30", "2019-07-30", 1.34 
"2019-09-30", "2019-10-29", 1.07 
