"2014-09-30", "2014-11-03", 0.35 
"2014-12-31", "2015-02-20", 0.25 
"2015-03-31", "2015-04-28", 0.32 
"2015-06-30", "2015-07-30", 0.28 
"2015-09-30", "2015-10-30", 0.31 
"2015-12-31", "2016-02-25", 0.33 
"2016-03-31", "2016-04-28", 0.33 
"2016-06-30", "2016-08-04", 0.24 
"2016-09-30", "2016-11-01", 0.27 
"2016-12-31", "2017-02-23", 0.26 
"2017-03-31", "2017-04-27", 0.24 
"2017-06-30", "2017-07-28", 0.30 
"2017-09-30", "2017-10-24", 0.31 
"2017-12-31", "2018-02-16", 0.29 
"2018-03-31", "2018-04-26", 0.24 
"2018-06-30", "2018-07-27", 0.30 
"2018-09-30", "2018-10-25", 0.28 
"2018-12-31", "2019-02-14", 0.25 
"2019-03-31", "2019-04-25", 0.17 
"2019-06-30", "2019-08-01", 0.23 
"2019-09-30", "2019-10-31", 0.32 
