"2014-09-30", "2014-10-30", 0.64 
"2014-12-31", "2015-01-29", 0.63 
"2015-03-31", "2015-04-30", 0.63 
"2015-06-30", "2015-07-30", 0.63 
"2015-09-30", "2015-10-29", 0.61 
"2015-12-31", "2016-01-28", 0.58 
"2016-03-31", "2016-04-28", 0.49 
"2016-06-30", "2016-07-28", 0.56 
"2016-09-30", "2016-10-27", 0.60 
"2016-12-31", "2017-01-26", 0.59 
"2017-03-31", "2017-04-27", 0.61 
"2017-06-30", "2017-07-27", 0.64 
"2017-09-30", "2017-10-26", 0.71 
"2017-12-31", "2018-01-31", 0.73 
"2018-03-31", "2018-04-26", 0.67 
"2018-06-30", "2018-07-26", 0.66 
"2018-09-30", "2018-10-18", 0.66 
"2018-12-31", "2019-01-30", 0.44 
"2019-03-31", "2019-04-25", 0.56 
"2019-06-30", "2019-07-25", 0.65 
"2019-09-30", "2019-10-23", 0.70 
