"2014-06-30", "2014-07-25", 0.57 
"2014-09-30", "2014-11-13", 0.59 
"2014-12-31", "2015-01-30", 0.51 
"2015-03-31", "2015-04-24", 0.58 
"2015-06-30", "2015-07-31", 0.62 
"2015-09-30", "2015-11-13", 0.64 
"2015-12-31", "2016-01-29", 0.44 
"2016-03-31", "2016-04-29", 0.47 
"2016-06-30", "2016-07-29", 0.57 
"2016-09-30", "2016-11-08", 1.21 
"2016-12-31", "2017-02-01", 0.53 
"2017-03-31", "2017-04-27", 0.50 
"2017-06-30", "2017-07-27", 0.71 
"2017-09-30", "2017-11-09", 0.87 
"2017-12-31", "2018-01-31", 0.54 
"2018-03-31", "2018-05-01", 0.53 
"2018-06-30", "2018-07-31", 0.81 
"2018-09-30", "2018-11-08", 0.93 
"2018-12-31", "2019-02-01", 0.26 
"2019-03-31", "2019-05-01", 0.32 
"2019-06-30", "2019-07-31", 0.69 
