"2014-06-30", "2014-08-12", 0.60 
"2014-09-30", "2014-11-04", 0.64 
"2014-12-31", "2015-02-04", 0.72 
"2015-03-31", "2015-05-06", 0.63 
"2015-06-30", "2015-08-25", 0.75 
"2015-09-30", "2015-11-04", 0.64 
"2015-12-31", "2016-02-02", 0.74 
"2016-03-31", "2016-05-03", 0.68 
"2016-06-30", "2016-08-16", 1.06 
"2016-09-30", "2016-11-07", 0.79 
"2016-12-31", "2017-02-07", 0.75 
"2017-03-31", "2017-05-02", 0.77 
"2017-06-30", "2017-08-15", 0.83 
"2017-09-30", "2017-11-07", 0.82 
"2017-12-31", "2018-02-06", 0.80 
"2018-03-31", "2018-05-01", 0.93 
"2018-06-30", "2018-08-21", 1.10 
"2018-09-30", "2018-11-06", 1.08 
"2018-12-31", "2019-02-05", 0.88 
"2019-03-31", "2019-04-30", 0.77 
"2019-06-30", "2019-08-20", 0.79 
