"2014-09-30", "2014-10-30", 0.94 
"2014-12-31", "2015-02-12", 0.84 
"2015-03-31", "2015-05-05", 0.98 
"2015-06-30", "2015-08-04", 0.92 
"2015-09-30", "2015-11-03", 0.85 
"2015-12-31", "2016-02-11", 0.79 
"2016-03-31", "2016-05-05", 0.97 
"2016-06-30", "2016-08-04", 0.91 
"2016-09-30", "2016-11-01", 0.96 
"2016-12-31", "2017-02-09", 0.92 
"2017-03-31", "2017-05-04", 1.09 
"2017-06-30", "2017-08-03", 0.98 
"2017-09-30", "2017-10-31", 1.05 
"2017-12-31", "2018-02-08", 0.94 
"2018-03-31", "2018-05-03", 1.19 
"2018-06-30", "2018-08-02", 1.12 
"2018-09-30", "2018-10-31", 1.07 
"2018-12-31", "2019-02-07", 0.93 
"2019-03-31", "2019-05-02", 1.04 
"2019-06-30", "2019-08-01", 1.00 
"2019-09-30", "2019-10-29", 1.03 
