"2014-09-30", "2014-10-23", 0.47 
"2014-12-31", "2015-01-22", 0.68 
"2015-03-31", "2015-04-23", 0.84 
"2015-06-30", "2015-07-30", 0.99 
"2015-09-30", "2015-10-21", 0.71 
"2015-12-31", "2016-01-28", 1.04 
"2016-03-31", "2016-04-26", 1.15 
"2016-06-30", "2016-07-28", 1.77 
"2016-09-30", "2016-10-20", 1.16 
"2016-12-31", "2017-01-26", 1.52 
"2017-03-31", "2017-04-27", 1.62 
"2017-06-30", "2017-07-27", 1.64 
"2017-09-30", "2017-10-26", 1.80 
"2017-12-31", "2018-01-25", 1.97 
"2018-03-31", "2018-04-26", 2.02 
"2018-06-30", "2018-07-30", 2.22 
"2018-09-30", "2018-10-29", 2.46 
"2018-12-31", "2019-01-29", 2.44 
"2019-03-31", "2019-05-06", 1.80 
"2019-06-30", "2019-08-05", 1.78 
"2019-09-30", "2019-10-30", 2.48 
