"2014-10-31", "2014-12-03", 0.65 
"2015-01-31", "2015-03-25", 0.69 
"2015-04-30", "2015-05-12", 0.65 
"2015-07-31", "2015-08-05", 0.73 
"2015-10-31", "2015-10-29", 0.71 
"2015-12-31", "2016-02-18", 0.78 
"2016-03-31", "2016-04-27", 0.72 
"2016-06-30", "2016-07-28", 0.68 
"2016-09-30", "2016-11-03", 1.25 
"2016-12-31", "2017-02-23", 0.75 
"2017-03-31", "2017-05-04", 0.88 
"2017-06-30", "2017-08-03", 1.04 
"2017-09-30", "2017-11-02", 0.95 
"2017-12-31", "2018-02-22", 0.87 
"2018-03-31", "2018-05-03", 1.03 
"2018-06-30", "2018-07-26", 1.12 
"2018-09-30", "2018-10-25", 1.14 
"2018-12-31", "2019-02-19", 1.10 
"2019-03-31", "2019-04-30", 1.13 
"2019-06-30", "2019-07-30", 1.16 
"2019-09-30", "2019-10-29", 1.36 
