"2014-09-30", "2014-10-29", 1.56 
"2014-12-31", "2015-02-04", 1.67 
"2015-03-31", "2015-04-29", 1.35 
"2015-06-30", "2015-07-29", 1.46 
"2015-09-30", "2015-10-28", 1.11 
"2015-12-31", "2016-02-03", 1.54 
"2016-03-31", "2016-05-04", 1.25 
"2016-06-30", "2016-08-03", 1.56 
"2016-09-30", "2016-11-02", 1.89 
"2016-12-31", "2017-02-02", 1.77 
"2017-03-31", "2017-05-03", 1.73 
"2017-06-30", "2017-08-02", 1.85 
"2017-09-30", "2017-11-01", 1.94 
"2017-12-31", "2018-01-31", 1.98 
"2018-03-31", "2018-05-02", 1.97 
"2018-06-30", "2018-08-01", 2.02 
"2018-09-30", "2018-11-01", 2.35 
"2018-12-31", "2019-02-06", 2.15 
"2019-03-31", "2019-05-01", 2.14 
"2019-06-30", "2019-07-31", 2.36 
"2019-09-30", "2019-10-30", -0.25 
