"2014-09-30", "2014-10-24", 2.46 
"2014-12-31", "2015-02-03", 2.48 
"2015-03-31", "2015-04-24", 2.54 
"2015-06-30", "2015-07-28", 2.79 
"2015-09-30", "2015-10-23", 2.80 
"2015-12-31", "2016-02-02", 2.20 
"2016-03-31", "2016-04-22", 2.30 
"2016-06-30", "2016-07-29", 2.45 
"2016-09-30", "2016-11-01", 2.31 
"2016-12-31", "2017-02-03", 2.17 
"2017-03-31", "2017-04-28", 2.26 
"2017-06-30", "2017-07-28", 2.82 
"2017-09-30", "2017-10-27", 2.42 
"2017-12-31", "2018-02-02", 2.73 
"2018-03-31", "2018-04-27", 3.11 
"2018-06-30", "2018-08-03", 3.34 
"2018-09-30", "2018-10-30", 2.96 
"2018-12-31", "2019-02-01", 1.80 
"2019-03-31", "2019-04-26", 2.22 
"2019-06-30", "2019-08-02", 2.71 
"2019-09-30", "2019-11-01", 2.59 
