"2014-07-31", "2014-08-13", 0.80 
"2014-10-31", "2014-11-12", 0.61 
"2015-01-31", "2015-02-24", 2.44 
"2015-04-30", "2015-05-13", 0.56 
"2015-07-31", "2015-08-12", 0.64 
"2015-10-31", "2015-11-11", 0.56 
"2016-01-31", "2016-02-23", 2.09 
"2016-04-30", "2016-05-11", 0.40 
"2016-07-31", "2016-08-11", 0.54 
"2016-10-31", "2017-01-04", 0.17 
"2017-01-31", "2017-02-21", 2.02 
"2017-04-30", "2017-05-11", 0.24 
"2017-07-31", "2017-08-10", 0.48 
"2017-10-31", "2017-11-09", 0.23 
"2018-01-31", "2018-02-27", 2.82 
"2018-04-30", "2018-05-16", 0.48 
"2018-07-31", "2018-08-15", 0.70 
"2018-10-31", "2018-11-14", 0.27 
"2019-01-31", "2019-02-26", 2.73 
"2019-04-30", "2019-05-15", 0.44 
"2019-07-31", "2019-08-14", 0.28 
