"2014-09-30", "2014-10-29", 0.89 
"2014-12-31", "2015-02-04", 0.46 
"2015-03-31", "2015-04-29", 0.43 
"2015-06-30", "2015-07-29", 1.81 
"2015-09-30", "2015-10-28", 1.22 
"2015-12-31", "2016-02-03", 0.57 
"2016-03-31", "2016-05-04", 0.61 
"2016-06-30", "2016-07-27", 0.59 
"2016-09-30", "2016-10-27", 1.12 
"2016-12-31", "2017-02-01", 0.44 
"2017-03-31", "2017-04-26", 0.36 
"2017-06-30", "2017-07-26", 0.42 
"2017-09-30", "2017-10-25", 1.00 
"2017-12-31", "2018-01-31", 1.08 
"2018-03-31", "2018-05-02", 0.44 
"2018-06-30", "2018-08-01", 0.46 
"2018-09-30", "2018-10-31", 0.45 
"2018-12-31", "2019-01-30", 0.54 
"2019-03-31", "2019-05-01", 0.63 
"2019-06-30", "2019-07-31", 0.47 
"2019-09-30", "2019-10-30", 0.51 
