"2014-09-30", "2014-10-24", 0.97 
"2014-12-31", "2015-02-06", 1.12 
"2015-03-31", "2015-05-01", 1.11 
"2015-06-30", "2015-07-24", 1.28 
"2015-09-30", "2015-10-30", 1.11 
"2015-12-31", "2016-02-05", 1.09 
"2016-03-31", "2016-04-29", 0.93 
"2016-06-30", "2016-07-22", 1.30 
"2016-09-30", "2016-10-21", 1.34 
"2016-12-31", "2017-02-17", 1.23 
"2017-03-31", "2017-05-05", 1.47 
"2017-06-30", "2017-07-21", 1.51 
"2017-09-30", "2017-11-03", 1.52 
"2017-12-31", "2018-02-09", 1.51 
"2018-03-31", "2018-04-27", 2.02 
"2018-06-30", "2018-07-27", 2.04 
"2018-09-30", "2018-10-26", 1.69 
"2018-12-31", "2019-02-15", 1.63 
"2019-03-31", "2019-04-24", 2.07 
"2019-06-30", "2019-07-31", 2.07 
"2019-09-30", "2019-10-30", 2.15 
