"2014-07-31", "2014-08-19", 0.93 
"2014-10-31", "2014-11-18", 0.96 
"2015-01-31", "2015-02-17", 1.13 
"2015-04-30", "2015-06-02", 1.16 
"2015-07-31", "2015-09-03", 1.02 
"2015-10-31", "2015-12-03", 1.03 
"2016-01-31", "2016-03-01", 1.06 
"2016-04-30", "2016-05-31", 1.27 
"2016-07-31", "2016-08-25", 1.03 
"2016-10-31", "2016-11-22", 1.12 
"2017-01-31", "2017-02-21", 1.12 
"2017-04-30", "2017-05-25", 1.33 
"2017-07-31", "2017-08-22", 1.14 
"2017-10-31", "2017-11-21", 1.07 
"2018-01-31", "2018-02-20", 1.18 
"2018-04-30", "2018-05-24", 1.42 
"2018-07-31", "2018-08-21", 1.17 
"2018-10-31", "2018-11-20", 1.22 
"2019-01-31", "2019-02-19", 1.29 
"2019-04-30", "2019-05-23", 1.54 
"2019-07-31", "2019-08-20", 1.26 
