"2014-09-30", "2014-10-30", -0.02 
"2014-12-31", "2015-02-17", 0.01 
"2015-03-31", "2015-05-04", 0.26 
"2015-06-30", "2015-08-04", 0.19 
"2015-09-30", "2015-10-29", 0.15 
"2015-12-31", "2016-02-18", -0.01 
"2016-03-31", "2016-05-05", 0.16 
"2016-06-30", "2016-08-04", 0.29 
"2016-09-30", "2016-11-07", 0.58 
"2016-12-31", "2017-02-16", 0.11 
"2017-03-31", "2017-04-27", 0.38 
"2017-06-30", "2017-07-27", 0.30 
"2017-09-30", "2017-11-08", 0.34 
"2017-12-31", "2018-02-20", 0.00 
"2018-03-31", "2018-04-26", 0.46 
"2018-06-30", "2018-08-02", 0.26 
"2018-09-30", "2018-10-30", 0.24 
"2018-12-31", "2019-02-13", 0.14 
"2019-03-31", "2019-04-29", 0.12 
"2019-06-30", "2019-07-25", 0.23 
"2019-09-30", "2019-10-30", 0.31 
