"2014-09-30", "2014-10-22", 0.46 
"2014-12-31", "2015-01-28", 0.57 
"2015-03-31", "2015-04-22", 0.65 
"2015-06-30", "2015-07-22", 0.64 
"2015-09-30", "2015-10-21", 0.60 
"2015-12-31", "2016-01-27", 0.65 
"2016-03-31", "2016-04-27", 0.77 
"2016-06-30", "2016-07-28", 0.88 
"2016-09-30", "2016-10-26", 0.82 
"2016-12-31", "2017-01-25", 0.88 
"2017-03-31", "2017-04-26", 1.11 
"2017-06-30", "2017-07-26", 1.00 
"2017-09-30", "2017-10-25", 0.90 
"2017-12-31", "2018-01-31", 0.88 
"2018-03-31", "2018-04-25", 1.27 
"2018-06-30", "2018-07-25", 1.07 
"2018-09-30", "2018-10-24", 1.02 
"2018-12-31", "2019-01-30", 1.21 
"2019-03-31", "2019-04-24", 1.39 
"2019-06-30", "2019-07-24", 1.27 
"2019-09-30", "2019-10-23", 1.42 
