"2014-09-30", "2014-10-23", 1.98 
"2014-12-31", "2015-01-27", 1.81 
"2015-03-31", "2015-04-23", 1.85 
"2015-06-30", "2015-07-23", 2.02 
"2015-09-30", "2015-10-22", 2.05 
"2015-12-31", "2016-01-26", 1.66 
"2016-03-31", "2016-04-26", 2.05 
"2016-06-30", "2016-07-26", 2.08 
"2016-09-30", "2016-10-25", 2.15 
"2016-12-31", "2017-01-24", 1.88 
"2017-03-31", "2017-04-25", 2.16 
"2017-06-30", "2017-07-25", 2.58 
"2017-09-30", "2017-10-24", 2.33 
"2017-12-31", "2018-01-25", 2.10 
"2018-03-31", "2018-04-24", 2.50 
"2018-06-30", "2018-07-24", 2.59 
"2018-09-30", "2018-10-23", 2.58 
"2018-12-31", "2019-01-29", 2.31 
"2019-03-31", "2019-04-25", 2.23 
"2019-06-30", "2019-07-25", 2.20 
"2019-09-30", "2019-10-24", 2.58 
